original|message
Text %v : |Text %v : 
Message|Message
Success|Success
success|success
🙁 ERROR [%v]|🙁 ERROR [%v]
Text|Text
Monkey|Monkey
Demon Pear|Demon Pear
Hello|Hello
Oops|Oops
error|error
View Host Information|View Host Information
Available Hosts|Available Hosts
Application Settings|Application Settings
Action+Failed|Action+Failed
Unauthorised Access|Unauthorised Access
Access is prohibited - Session Not Found|Access is prohibited - Session Not Found
Security|Security
Available Zones|Available Zones
Zone Information|Zone Information
Update Zone Definition|Update Zone Definition
No Change: Name is the same before and after.|No Change: Name is the same before and after.
Available Users|Available Users
User Information|User Information
User+found|User+found
Update User Definition|Update User Definition
Statuses|Statuses
Available Statuses|Available Statuses
Update Status Definition|Update Status Definition
Update Host Definition|Update Host Definition
Goodbye|Goodbye
Yes|Yes
No|No
Please|Please
Thank you|Thank you
Sorry|Sorry
Excuse me|Excuse me
Good morning|Good morning
Good afternoon|Good afternoon
Good evening|Good evening
Good night|Good night
Host Worker - Checking Hosts Availability|Host Worker - Checking Hosts Availability
no Change: Message is the same|no Change: Message is the same
no change: Message is the same|no change: Message is the same
[SECURITY] Method=[%s] URI=[%s] Header[%v]|[SECURITY] Method=[%s] URI=[%s] Header[%v]
demon_pear|demon_pear
View Host|View Host
Landing Page|Landing Page
New Trip|New Trip
Create Trip|Create Trip
View Trip|View Trip
View Trip Detail|View Trip Detail
View Trip Audit|View Trip Audit
Edit Trip|Edit Trip
Update Trip|Update Trip
Packing|Packing
Update Packing|Update Packing
Clone Trip|Clone Trip
Delete Trip|Delete Trip
Dashboard|Dashboard
Action Failed|Action Failed
Unit Tests|Unit Tests
Debug_Users|Debug_Users
View User|View User
Debug_Status|Debug_Status
Debug_Destinations|Debug_Destinations
View_Destination|View_Destination
Settings|Settings
Update Settings|Update Settings
Text List|Text List
Update Text|Update Text
Calendar|Calendar
Integrity|Integrity
Rollover|Rollover
Notifications|Notifications
Admin|Admin
Multiple %v found (%v)|Multiple %v found (%v)
# Generated (230) texts at 20:05:09 on 2025-02-04
